DOLA Tax Entity Name:,Tax Entity ID:,Certifying County:,2026 Budget Year Total Levy (2025 Tax Year),2026 Budget Year Net Assessed Value (2025 Tax Year)
Clear Creek Metropolitan Recreation District,10004/1,Clear Creek,2.001,299497220
Clear Creek RE-1 School District,10900/1,Clear Creek,25.785,404460610
Clear Creek Regional Housing Authority,68114/1,Clear Creek,0,0
Clear Creek Station Metropolitan District No. 2,65955/1,Adams,0,0
Clear Creek Transit Metropolitan District No. 1,66249/1,Adams,0,140
Clear Creek Transit Metropolitan District No. 2,66250/1,Adams,68.59,2483110
Clear Creek Valley Water and Sanitation District,64043/1,Denver,2.749,1162270
Clear Creek Valley Water and Sanitation District,64043/1,Jefferson,2.749,255648014
Clearview Library District,62078/1,Weld,3.546,2081987721
Clearview Villages Metropolitan District,66080/1,Weld,49.398,135520
Clearwater Metropolitan District,20012/1,Elbert,0,1130
Cleora North Metropolitan District,68257/1,Chaffee,0,0
Clifton Fire Protection District,39005/1,Mesa,11.552,281451850
Clifton Sanitation District,39007/1,Mesa,0,176531610
Clifton Water District,39008/1,Mesa,0,331962030
Cloverleaf Metropolitan District,67470/1,El Paso,67.117,4124740
Coal Creek,22006/1,Fremont,12.504,3517976
Coal Creek Canyon Fire Prot,64044/1,Boulder,13,35268346
Coal Creek Canyon Fire Prot,64044/1,Gilpin,13,7205290
Coal Creek Canyon Fire Prot,64044/1,Jefferson,13,78468330
Coal Creek Canyon Park and Recreation District,66136/1,Boulder,0,23625875
Coal Creek Canyon Park and Recreation District,66136/1,Jefferson,0,49619555
Coal Creek Metropolitan District No. 1,66640/1,Arapahoe,70,27341009
Coal Creek Metropolitan District No. 2,66641/1,Arapahoe,0,20
Coal Creek Metropolitan District No. 3,66642/1,Arapahoe,0,20
Coal Creek Metropolitan District No. 4,66643/1,Arapahoe,0,20
Coal Creek Metropolitan District No. 5,66644/1,Arapahoe,0,20
Coal Ridge Metropolitan District,68136/1,Weld,0,199334
Coalton Metropolitan District,66235/1,Boulder,49,4605451
Cobblestone Metropolitan District No. 1,67118/1,Weld,0,74980
Cobblestone Metropolitan District No. 2,67119/1,Weld,0,74980
Cobblestone Metropolitan District No. 3,67120/1,Weld,0,74980
Cobblestone Metropolitan District No. 4,67121/1,Weld,0,74980
Cobblewood General Improvement District (1-2016),66829/1,Arapahoe,23,1448590
Cokedale,36004/1,Las Animas,10.25,811000
Colfax Business Improvement District,16017/1,Denver,10.584,94639450
Colfax Mayfair Business Improvement District,66595/1,Denver,0,0
Colfax Sable Metropolitan District,66831/1,Arapahoe,77.538,4212181
Collbran,39011/1,Mesa,6.046,3764690
Collbran Cemetery District,39009/1,Mesa,0.652,74537290
Collbran Conservancy District,39010/1,Mesa,0.592,45855210
College Creek Metropolitan District,65720/1,El Paso,0,1630
College Park Water & Sanitation District,30015/1,Jefferson,6.786,114123177
Colliers Hill Metropolitan District No. 1,66015/1,Weld,63.511,2633884
Colliers Hill Metropolitan District No. 2,66016/1,Weld,63.475,47015670
Colliers Hill Metropolitan District No. 3,66017/1,Weld,60.819,10689660
Colorado Avenue Gateway Special Improvement Maintenance District,21082/1,El Paso,1.009,7729770
Colorado Centre Metro,21057/1,El Paso,25,47164470
Colorado Centre-Developer Owned,21057/2,El Paso,100,7186060
Colorado City Cemetery District,51027/1,Pueblo,0.649,48615630
Colorado City Metropolitan District,51007/1,Pueblo,17.967,41523740
Colorado Crossing Metropolitan District No. 1,65764/1,El Paso,27.987,4158140
Colorado Crossing Metropolitan District No. 2,65765/1,El Paso,48.075,26833510
Colorado Crossing Metropolitan District No. 2 - 2017 Bond,65765/2,El Paso,24.918,6687710
Colorado Crossing Metropolitan District No. 3,65766/1,El Paso,78.895,17773690
Colorado Crossing Metropolitan District No. 3 - 2017 Bond,65766/2,El Paso,24.918,869640
Colorado Horse Park Metropolitan District,66253/1,Douglas,0,0
Colorado Inter. Center Metro. Dist. #10,65446/1,Adams,5.362,1540
Colorado Inter. Center Metro. Dist. #11,65447/1,Adams,15.45,50658310
Colorado Inter. Center Metro. Dist. #3,65439/1,Adams,71.938,24370230
Colorado Inter. Center Metro. Dist. #4,65440/1,Adams,25.484,8230
Colorado Inter. Center Metro. Dist. #5,65441/1,Adams,74.695,15749680
Colorado Inter. Center Metro. Dist. #6,65442/1,Adams,10.74,1667910
Colorado Inter. Center Metro. Dist. #7,65443/1,Adams,48.333,6080
Colorado Inter. Center Metro. Dist. #8,65444/1,Adams,81.645,1205540
Colorado Inter. Center Metro. Dist. #9,65445/1,Adams,48.332,25954680
Colorado International Center Metropolitan District,01103/1,Adams,0,0
Colorado International Center Metropolitan District No. 13,65664/1,Denver,95.342,13089960
Colorado International Center Metropolitan District No. 14,65665/1,Denver,83.131,77176150
Colorado Mountain College,64045/1,Chaffee,3.82,484445520
Colorado Mountain College,64045/1,Eagle,3.82,5337163050
Colorado Mountain College,64045/1,Fremont,3.82,11546847
Colorado Mountain College,64045/1,Garfield,3.82,2498640140
Colorado Mountain College,64045/1,Lake,3.82,357183687
Colorado Mountain College,64045/1,Pitkin,3.82,5544208430
Colorado Mountain College,64045/1,Routt,3.82,1919415350
Colorado Mountain College,64045/1,Summit,3.82,3547248835
Colorado River Fire Protection District,23020/1,Garfield,11.858,764015690
Colorado River Water Conservation District,64046/1,Delta,0.502,508452947
Colorado River Water Conservation District,64046/1,Eagle,0.502,5140812860
Colorado River Water Conservation District,64046/1,Garfield,0.502,2666875600
Colorado River Water Conservation District,64046/1,Grand,0.502,1532110628
Colorado River Water Conservation District,64046/1,Gunnison,0.502,1180953670
Colorado River Water Conservation District,64046/1,Hinsdale,0.502,62038820
Colorado River Water Conservation District,64046/1,Mesa,0.502,3011181665
Colorado River Water Conservation District,64046/1,Moffat,0.502,429266702
Colorado River Water Conservation District,64046/1,Montrose,0.502,910765806
Colorado River Water Conservation District,64046/1,Ouray,0.502,324186540
Colorado River Water Conservation District,64046/1,Pitkin,0.502,5544208430
Colorado River Water Conservation District,64046/1,Rio Blanco,0.502,722138230
Colorado River Water Conservation District,64046/1,Routt,0.502,2242144980
Colorado River Water Conservation District,64046/1,Saguache,0.502,6975636
Colorado River Water Conservation District,64046/1,Summit,0.502,3562515215
Colorado Science and Technology Park Metropolitan District No. 1,65905/1,Adams,64.776,92
Colorado Science and Technology Park Metropolitan District No. 2,65906/1,Adams,76.802,580556
Colorado Science and Technology Park Metropolitan District No. 3,65907/1,Adams,64.774,95
Colorado Springs,21015/1,El Paso,3.009,9739750270
Colorado Springs 11 School District,21904/1,El Paso,37.695,4940757850
Colorado Springs Briargate General Improvement District,21111/1,El Paso,0,0
Colorado Springs Briargate General Improvement District 2021,67512/1,El Paso,4.409,414890670
Colorado Springs Downtown Development Authority,65958/1,El Paso,5,249275910
Colorado Springs Spring Creek General Improvement District,21069/1,El Paso,0,0
Colorado Springs Urban Renewal Authority - Almagre Urban Renewal Area,21053/15,El Paso,0,135630
Colorado Springs Urban Renewal Authority - Bristow-Lowell Urban Renewal Area,21053/20,El Paso,0,508790
Colorado Springs Urban Renewal Authority - City Auditorium Block Urban Renewal Area,21053/5,El Paso,0,1385630
Colorado Springs Urban Renewal Authority - CityGate 2.0 Urban Renewal Area,21053/18,El Paso,0,2848250
Colorado Springs Urban Renewal Authority - Citygate Urban Renewal Area,21053/7,El Paso,0,0
Colorado Springs Urban Renewal Authority - Copper Ridge at Northgate Urban Renewal Area,21053/8,El Paso,0,2622690
Colorado Springs Urban Renewal Authority - Gold Hill Mesa Commercial 2023 Urban Renewal Area,21053/22,El Paso,0,0
Colorado Springs Urban Renewal Authority - Gold Hill Mesa Commercial Urban Renewal Area,21053/12,El Paso,0,124760
Colorado Springs Urban Renewal Authority - Gold Hill Mesa Urban Renewal Area,21053/6,El Paso,0,341580
Colorado Springs Urban Renewal Authority - Hancock Commons Urban Renewal Area,21053/17,El Paso,0,228090
Colorado Springs Urban Renewal Authority - Ivywild Neighborhood Urban Renewal Area,21053/9,El Paso,0,695400
Colorado Springs Urban Renewal Authority - Museum and Park Urban Renewal Area,21053/13,El Paso,0,3005970
Colorado Springs Urban Renewal Authority - North Nevada Avenue Urban Renewal Area,21053/4,El Paso,0,7140030
Colorado Springs Urban Renewal Authority - OneVeLa Urban Renewal Area,21053/21,El Paso,0,696460
Colorado Springs Urban Renewal Authority - Project Garnet Urban Renewal Area,21053/16,El Paso,0,14874780
Colorado Springs Urban Renewal Authority - South Nevada Avenue Urban Renewal Area,21053/11,El Paso,0,23947530
Colorado Springs Urban Renewal Authority - Southwest Downtown Urban Renewal Area,21053/2,El Paso,0,5337910
Colorado Springs Urban Renewal Authority - Tejon and Costilla Urban Renewal Area,21053/14,El Paso,0,802290
Colorado Springs Urban Renewal Authority - True North Commons Urban Renewal Area,21053/19,El Paso,0,0
Colorado Springs Urban Renewal Authority - Vineyard Property Urban Renewal Area,21053/10,El Paso,0,139700
Colorado Tech Center Metropolitan District,07047/1,Boulder,0.15,341390370
Colorado Tech Center Metropolitan District Subdistrict,67016/1,Boulder,6,48243938
Colorado Water Resources & Power Development Authority,64162/1,Lake,0,0
Colorado's Timber Ridge Metropolitan District,66380/1,Archuleta,15,16141190
Columbia Metropolitan District,03107/1,Arapahoe,1.64,96032322
Columbine Heights Metropolitan District,67929/1,Weld,0,2333940
Columbine Knolls Grove Metropolitan Recreation District,30016/1,Jefferson,9.465,58364691
Columbine Lake Water District,25002/1,Grand,0,29780130
Columbine Valley,03029/1,Arapahoe,7.298,84063594
Columbine Water & Sanitation District,03030/1,Arapahoe,2.769,76643893
Comanche Crossing Metropolitan District,66097/1,Arapahoe,50,866170
Commerce City,01005/1,Adams,2.613,2008935900
Commerce City E-470 Commercial Area General Improvement District,66474/1,Adams,27,111807310
Commerce City E-470 Residential Area General Improvement District,66475/1,Adams,30,15842340
Commerce City Northern Infrastructure General Impr. Dist.,01068/1,Adams,8,649950380
Commerce City Urban Renewal Authority,01031/1,Adams,0,0
Commerce City Urban Renewal Authority - Mile High Greyhound Park Urban Renewal Plan Area,01031/3,Adams,0,0
Commerce City Urban Renewal Authority - Mile High Greyhound Park Urban Renewal Plan Area P,01031/4,Adams,0,0
Commerce City Urban Renewal Authority - Sand Creek Business Area Urban Renewal Plan Area,01031/2,Adams,0,0
Commons at East Creek Metropolitan District,67236/1,Arapahoe,99.364,1674403
Communications,54012/9,Routt,1.018,2242144980
Community Center Board,39023/13,Mesa,0,0
Community Coordinating Metropolitan District No. 1,66323/1,Denver,0,5626310
Community Development,02001/15,Alamosa,0.25,234186523
Community Investment Fund,21019/12,El Paso,0,0
Compark Business Campus Metropolitan District,18109/1,Douglas,43.811,93394270
Compark Business Campus Metropolitan District - Debt Service (Exclusion)vc,18109/2,Douglas,22.318,6293860
Compark Business Campus Metropolitan District - Debt Service 2 (Exclusion),18109/3,Douglas,18.685,1780740
Compark Business Campus Metropolitan District Subdistrict,68200/1,Douglas,0,0
Concord Metropolitan District,18117/1,Douglas,6,87407400
Conejos County,11004/1,Conejos,20.629,107842465
Conejos County Weed Control District,11022/1,Conejos,1.301,18794026
Conejos Library District,65013/1,Conejos,1.674,107842465
Conejos Water Conservancy District,11007/1,Conejos,6.253,52684579
Conestoga Metropolitan District No. 1,66810/1,Weld,60,210
Conestoga Metropolitan District No. 2,66811/1,Weld,59.978,5521270
Conestoga Metropolitan District No. 3,66812/1,Weld,60.124,3583000
Conestoga Metropolitan District No. 4,66813/1,Weld,59.552,1329990
Conestoga Metropolitan District No. 5,66814/1,Weld,59.668,218710
Conexus Metropolitan District No. 1,67598/1,El Paso,37.592,2144330
Conexus Metropolitan District No. 2,67599/1,El Paso,37.592,64620
Confluence Early Childhood Development Special District,68260/1,Eagle,0,0
Confluence Early Childhood Development Special District,68260/1,Garfield,0,0
Confluence Early Childhood Development Special District,68260/1,Pitkin,0,0
Confluence Metropolitan District,19063/1,Eagle,23,1175620
Conifer Metropolitan District,65404/1,Jefferson,50,6892740
Conservation Trust,56001/6,San Juan,0,0
Conservation Trust,57010/8,San Miguel,0,0
Conservatory Metropolitan District,65045/1,Arapahoe,35.951,55354202
Consolidated Bell Mountain Ranch Metropolitan District,18110/1,Douglas,47.028,29043330
Consolidated C-1 School District,14900/1,Custer,29.583,186761505
Constitution Heights Metro. District,65312/1,El Paso,26.596,36053290
Constitution Heights Metropolitan District - Debt Service,65312/2,El Paso,26.596,218470
Contingent Fund,02001/5,Alamosa,0,0
Contingent Fund,05001/5,Baca,0,0
Contingent Fund,06001/5,Bent,0,0
Contingent Fund,07003/5,Boulder,0,11631881772
Contingent Fund,09002/5,Cheyenne,0,0
Contingent Fund,10003/5,Clear Creek,0,0
Contingent Fund,11004/6,Conejos,0.205,107842465
Contingent Fund,13001/5,Crowley,0,0
Contingent Fund,14001/7,Custer,0,0
Contingent Fund,15006/5,Delta,0,508452947
Contingent Fund,17002/5,Dolores,0.6,99324611
Contingent Fund,19011/5,Eagle,0,5338527000
Contingent Fund,21019/6,El Paso,0,0
Contingent Fund,20001/5,Elbert,0,0
Contingent Fund,23005/5,Garfield,0,0
Contingent Fund,24005/5,Gilpin,0,0
Contingent Fund,28002/5,Huerfano,0,0
Contingent Fund,29001/5,Jackson,0,0
Contingent Fund,30047/5,Jefferson,0,13944580797
Contingent Fund,32011/5,Kit Carson,0,0
Contingent Fund,33001/8,Lake,0,357183387
Contingent Fund,35015/5,Larimer,0,9180256613
Contingent Fund,36006/5,Las Animas,0.35,440474937
Contingent Fund,37008/5,Lincoln,0,186948968
Contingent Fund,39023/5,Mesa,0,0
Contingent Fund,44010/5,Morgan,0,0
Contingent Fund,45012/5,Otero,0,0
Contingent Fund,46005/5,Ouray,0,0
Contingent Fund,50014/5,Prowers,0,0
Contingent Fund,51010/6,Pueblo,0,0
Contingent Fund,54012/5,Routt,0,0
Contingent Fund,56001/5,San Juan,0,0
Contingent Fund,57010/5,San Miguel,0,0
Contingent Fund,58009/5,Sedgwick,0,0
Contingent Fund,59021/5,Summit,0,3562515215
Contingent Fund,60010/5,Teller,0,0
Contingent Fund,61008/5,Washington,0.25,189946890
Contingent Fund,62056/5,Weld,0,19722748799
Contractual Obligations,16002/10,Denver,0,0
Cooper Creek Village Metropolitan District No. 1,67911/1,Grand,0,32430
Cooper Creek Village Metropolitan District No. 2,67912/1,Grand,0,28750
Cooper Creek Village Metropolitan District No. 3,67913/1,Grand,0,9490
Cooper Creek Village Metropolitan District No. 4,67914/1,Grand,0,9490
Cooper Creek Village Metropolitan District No. 5,67915/1,Grand,0,9490
Cope Conservation District,64231/1,Arapahoe,0,62903
Cope Conservation District,64231/1,Washington,0,0
Cope Rural Fire Protection District,61003/1,Washington,3.41,8968013
Copper Mountain Consolidated Metropolitan District,59039/1,Summit,21.037,154735940
Copper Ridge Metropolitan District,66018/1,El Paso,21.595,2191640
Copper Ridge Metropolitan District - 2021 Debt Service,66018/3,El Paso,12.526,22440
Copper Ridge Metropolitan District - Debt Service,66018/2,El Paso,9.546,412440
Copperleaf Metropolitan District No. 1,65393/1,Arapahoe,0,28
Copperleaf Metropolitan District No. 2,65394/1,Arapahoe,27.25,68196530
Copperleaf Metropolitan District No. 3,65395/1,Arapahoe,72.219,18510609
Copperleaf Metropolitan District No. 3 - Bond,65395/2,Arapahoe,69.373,27031
Copperleaf Metropolitan District No. 4,65396/1,Arapahoe,55.602,21800398
Copperleaf Metropolitan District No. 4 - Bond,65396/2,Arapahoe,53.414,27769
Copperleaf Metropolitan District No. 5,65397/1,Arapahoe,36.166,2575527
Copperleaf Metropolitan District No. 6,65398/1,Arapahoe,72.7,19595057
Copperleaf Metropolitan District No. 6 - Bond,65398/2,Arapahoe,0,0
Copperleaf Metropolitan District No. 7,65399/1,Arapahoe,60,1286
Copperleaf Metropolitan District No. 8,65400/1,Arapahoe,60,2298
Copperleaf Metropolitan District No. 9,65952/1,Arapahoe,71.642,8770294
Cordillera Metropolitan District,19049/1,Eagle,0,145200590
Cordillera Metropolitan District,65210/1,Eagle,34.103,182772430
Cordillera Mountain Metropolitan District,19058/1,Eagle,0,37571840
Cordillera Valley Club Metropolitan District,65088/1,Eagle,14.246,43422340
Corinthian Hill Metropolitan District,59008/1,Summit,9.267,10740210
Cornerstar Metropolitan District,65795/1,Arapahoe,69.424,32762225
Cornerstar Metropolitan District - Bonds,65795/2,Arapahoe,42.508,7282330
Cornerstone Metropolitan District No. 1,65390/1,Montrose,0,950
Cornerstone Metropolitan District No. 2,65391/1,Montrose,85,2173774
Cornerstone Metropolitan District No. 2,65391/1,Ouray,85,12811760
Cortez,42004/1,Montezuma,1.072,126523990
Cortez Cemetery District,42002/1,Montezuma,0.302,205843220
Cortez Fire Protection District,42025/1,Montezuma,10.139,198188430
Cortez Sanitation District,42003/1,Montezuma,0,0
Corvallis Metropolitan District No. 1,67967/1,El Paso,0,96600
Corvallis Metropolitan District No. 2,67968/1,El Paso,0,930
Corvallis Metropolitan District No. 3,67969/1,El Paso,0,350
Corvallis Metropolitan District No. 4,67970/1,El Paso,0,32440
Cory Cemetery District,15004/1,Delta,0.718,21868218
Costilla County,12003/1,Costilla,18.757,174398793
Costilla County Ambulance District,12012/1,Costilla,4.542,174318650
Costilla County Conservancy District,12004/1,Costilla,5.509,55151530
Costilla County Fire Protection District,12005/1,Costilla,4.079,174398793
Cotopaxi RE-3 School District,22900/1,Fremont,28.779,122068857
Cotton Ranch Metropolitan District,19051/1,Eagle,25.181,26214590
Cottonwood Conner Metropolitan District,67722/1,Weld,0,2970
Cottonwood Creek Metropolitan District No. 1,66616/1,Arapahoe,45,3599511
Cottonwood Creek Metropolitan District No. 2,66617/1,Arapahoe,45,135
Cottonwood Creek Metropolitan District No. 3,66618/1,Arapahoe,21.481,13283
Cottonwood Creek Metropolitan District No. 4,66619/1,Arapahoe,74.946,3207733
Cottonwood Creek Metropolitan District No. 5,66620/1,Arapahoe,21.481,126
Cottonwood Greens Metro. District #1,65618/1,Weld,0,0
Cottonwood Greens Metro. District #2,65619/1,Weld,78.009,4373560
Cottonwood Greens Metropolitan District No. 5,65791/1,Weld,53.703,106720
Cottonwood Highlands Metropolitan District No. 1,66590/1,Douglas,51,26754330
Cottonwood Highlands Metropolitan District No. 2,66591/1,Douglas,29.013,4954290
Cottonwood Hollow Commercial Metro. Dist,65347/1,Weld,53.703,10391
Cottonwood Hollow Residential Metro. Dis,65348/1,Weld,69.744,3887667
Cottonwood Metropolitan District,18036/1,Douglas,8.3,108268168
Cottonwood Thermo Metropolitan District,67723/1,Weld,0,8560
Cottonwood Townhomes Metropolitan District,67724/1,Weld,80.64,908520
Cottonwood Water & Sanitation District,18006/1,Douglas,5.65,172371631
Cottonwood Water & Sanitation District - Debt Service 4594,18006/2,Douglas,5.65,733460
Country Club Highlands Metropolitan District,65630/1,Adams,31.809,7557490
Country Club Village Metropolitan District,65629/1,Adams,30,9394360
Country Homes Metro Parcel A,03031/1,Arapahoe,13.282,15318195
Country Homes Metro Parcel B,03031/2,Arapahoe,4.666,3468404
Countrydale Metropolitan District,30137/1,Jefferson,24.464,18611123
Countrydale Metropolitan District - Ex 06,30137/2,Jefferson,19.164,78097930
Countryside South Metropolitan District,65717/1,El Paso,32.266,80920
Countryside Special Improvement Maintenance District,21078/1,El Paso,0,22942410
Coyote Creek Metropolitan District,68182/1,Weld,55,860
Craig,41004/1,Moffat,18.996,94389794
Craig Rural Fire Protection District,64047/1,Moffat,3.527,305636410
Craig Rural Fire Protection District,64047/1,Routt,3.497,2208870
Crawford,15005/1,Delta,2.42,4195069
Crawford Cemetery District,64048/1,Delta,0.482,24765896
Crawford Cemetery District,64048/1,Montrose,0.482,7040200
Crawford Fire Protection District No. 5,64049/1,Delta,3.807,24508762
Crawford Fire Protection District No. 5,64049/1,Montrose,3.807,6708730
Crawford Water Conservancy District,64050/1,Delta,0.397,21545290
Crawford Water Conservancy District,64050/1,Gunnison,0.397,46740
Crawford Water Conservancy District,64050/1,Montrose,0.397,546430
Creede,40001/1,Mineral,13.031,10632407
Creede Consolidated 1 School District,40900/1,Mineral,34.036,72730732
Creekside South Estates Metropolitan District,67060/1,Adams,85.557,2611110
Creekside Village Metropolitan District,65908/1,Adams,71.35,4832230
Creekside Village Metropolitan District Subdistrict A,65908/2,Adams,0,0
Creekside Village Metropolitan District Subdistrict A,67798/1,Adams,0,0
Creekwalk Marketplace Business Improvement District,66645/1,El Paso,61.999,5209450
Creekwalk Metropolitan District,67769/1,El Paso,75.184,310140
Crescent Canyon Metropolitan District,65718/1,El Paso,37.591,174840
Crested Butte,26004/1,Gunnison,11.889,191697070
Crested Butte Fire Protection District,26001/1,Gunnison,11.088,675482820
Crested Butte South Metropolitan District,26002/1,Gunnison,8.602,62657140
Crestone,55004/1,Saguache,5.683,3213177
Crestview Sewer Only,01006/2,Adams,0.308,30834850
Crestview Water & Sanitation,01006/1,Adams,3.001,287443390
Cripple Creek,60001/1,Teller,1.67,149723570
Cripple Creek-Victor RE-1 School District,60900/1,Teller,12.182,430180256
Crook,38002/1,Logan,19.999,852601
Crook Fire Protection District,38001/1,Logan,7,39715711
Crooked Arroyo Water Conservancy District,45002/1,Otero,0.141,8677740
Cross Creek Metropolitan District,65200/1,El Paso,11.839,55040430
Cross Creek Metropolitan District No. 2,65143/1,Arapahoe,39.702,28044756
Crossroads East Metropolitan District,66005/1,Arapahoe,64.444,46665865
Crossroads Metropolitan District No. 1,67435/1,El Paso,64.443,493970
Crossroads Metropolitan District No. 2,67436/1,El Paso,64.443,561000
Crow Hill Water & Sanitation District,47003/1,Park,7.293,1981041
Crowfoot Valley Ranch Metropolitan District No. 1,65094/1,Douglas,75.186,5810
Crowfoot Valley Ranch Metropolitan District No. 2,65095/1,Douglas,83.342,40379530
Crowley,13002/1,Crowley,19.2,592894
Crowley County,13001/1,Crowley,42.081,64266000
Crowley County RE-1-J School District,64915/1,Crowley,27.449,62532554
Crowley County RE-1-J School District,64915/1,Lincoln,27.449,1395456
Crown Mountain Park and Rec. District,65152/1,Eagle,3.326,469886340
Crown Mountain Park and Rec. District,65152/1,Pitkin,3.326,260321630
Crystal Crossing Metropolitan District,65141/1,Douglas,52.966,13922140
Crystal Lakes Fire Protection District,35070/1,Larimer,5.514,44358919
Crystal Oaks Metropolitan District,67854/1,Pitkin,13.5,3219400
Crystal Park Metropolitan District,21093/1,El Paso,4.192,12835020
Crystal Valley Metropolitan District No. 1,18081/1,Douglas,0,0
Crystal Valley Metropolitan District No. 2,18082/1,Douglas,22.525,136278890
Crystal Valley Metropolitan District No. 2 Sub District,67643/1,Douglas,34.204,5056610
Crystal Valley Shops Metropolitan District,67928/1,Douglas,0,0
Cuchara Valley Park and Recreation District,66329/1,Huerfano,0,0
Cucharas Sanitation & Water District,28001/1,Huerfano,8.094,16556229
Cuchares Ranch Metropolitan District,65933/1,El Paso,25.91,11199220
Cumberland Green Metropolitan District,65495/1,El Paso,27,17223380
Cundall Farms Metropolitan District,66186/1,Adams,72.015,16499520
Cunningham Fire Protection District,03032/1,Arapahoe,0,0
Custer County,14001/1,Custer,18.245,177560485
Cutler Farms Metropolitan District,65296/1,Adams,40.86,31270
D Mountain Park and Recreation District,66635/1,Rio Grande,0,42379913
DC Metropolitan District,68054/1,Denver,48.566,3279290
DIATC Metropolitan District,66355/1,Adams,27.5,67893490
DIATC Metropolitan District - Bond,66355/2,Adams,20,994010
DUS Metropolitan District No. 1,66138/1,Denver,0,0
DUS Metropolitan District No. 2,66139/1,Denver,8,17279114
DUS Metropolitan District No. 3,66140/1,Denver,5,1087999
Dacono,62007/1,Weld,22.491,124392072
Dacono Estates Metropolitan District No. 1,65453/1,Weld,55.664,118440
Dakota Ridge Metropolitan District,67477/1,Jefferson,88.037,2676680
Dallas Park Cemetery District,46003/1,Ouray,0.204,189628370
Dancing Willows Metropolitan District,65520/1,Jefferson,54.87,11498160
Daniels Sanitation District,30017/1,Jefferson,0.218,155486944
Dawson Trails Metropolitan District No. 1,18070/1,Douglas,76.293,47980
Dawson Trails Metropolitan District No. 2,18071/1,Douglas,76.508,1972030
Dawson Trails Metropolitan District No. 3,18072/1,Douglas,76.5,2012150
Dawson Trails Metropolitan District No. 4,18073/1,Douglas,74.044,3570
Dawson Trails Metropolitan District No. 5,18074/1,Douglas,76.512,2337170
Dawson Trails Metropolitan District No. 6,18077/1,Douglas,76.511,1041670
Dawson Trails Metropolitan District No. 6 - Judgement,18077/2,Douglas,10,662900
Dawson Trails Metropolitan District No. 7,18078/1,Douglas,76.481,102210
Dawson Trails Metropolitan District No. 7 - Judgement,18078/2,Douglas,10,432680
De Beque,39012/1,Mesa,9.018,12084370
DeBeque 49JT School District,64936/1,Garfield,9.456,168460950
DeBeque 49JT School District,64936/1,Mesa,9.456,46693560
DeBeque Fire Protection District,65951/1,Garfield,8,155228810
DeBeque Fire Protection District,65951/1,Mesa,8,39757360
Debeque-Plateau Valley Conservation District,64051/1,Garfield,0,0
Debt Service,01001/9,Adams,0,13407154911
Debt Service,61008/11,Washington,0,0
Debt Service Fund,02001/16,Alamosa,0.2,234186523
Debt Service Fund,18008/5,Douglas,0,0
Deep Creek Water & Sanitation District,40004/1,Mineral,0,0
Deer Creek Metropolitan District,30140/1,Jefferson,10.661,29905184
Deer Creek Metropolitan District,47020/1,Park,35,2414520
Deer Creek Villas Metropolitan District,67392/1,Jefferson,72.278,5228649
Deer Creek Water District,66047/1,Elbert,9.574,15043980
Deer Meadows Metropolitan District,65472/1,Larimer,75.493,4309389
Deer Mountain Fire Protection District,22021/1,Fremont,6.927,53879042
Deer Trail,03033/1,Arapahoe,12.916,13903141
Deer Trail 26J School District,64906/1,Adams,36.679,5245236
Deer Trail 26J School District,64906/1,Arapahoe,36.679,50357596
Deer Trail Conservation District,64253/1,Arapahoe,0,82280417
Deer Trail Conservation District,64253/1,Washington,0,0
Deer Trail Rural Fire Protection District,64052/1,Adams,7.032,2905990
Deer Trail Rural Fire Protection District,64052/1,Arapahoe,7.032,47668583
Deer Trail Rural Fire Protection District,64052/1,Elbert,7.032,2939460
Deer Trails Metropolitan District,65075/1,Weld,26.491,2715520
Del Norte,53002/1,Rio Grande,10.64,16894214
Del Norte C-7 School District,53900/1,Rio Grande,39.537,143365821
Del Norte Fire Protection District,53001/1,Rio Grande,4.784,49697054
Delantero Metropolitan District No. 1,67746/1,Weld,0,150
Delantero Metropolitan District No. 10,67755/1,Weld,0,150
Delantero Metropolitan District No. 2,67747/1,Weld,0,150
Delantero Metropolitan District No. 3,67748/1,Weld,0,150
Delantero Metropolitan District No. 4,67749/1,Weld,0,150
Delantero Metropolitan District No. 5,67750/1,Weld,0,150
Delantero Metropolitan District No. 6,67751/1,Weld,0,150
Delantero Metropolitan District No. 7,67752/1,Weld,0,150
Delantero Metropolitan District No. 8,67753/1,Weld,0,150
Delantero Metropolitan District No. 9,67754/1,Weld,0,150
Delta,15015/1,Delta,0,116966351
Delta Conservation District,64053/1,Delta,0,508452947
Delta County,15006/1,Delta,14.096,508452947
Delta County Ambulance District,15032/1,Delta,6,321915540
Delta County Fire Prot No. 4,15010/1,Delta,4.8,54903996
Delta County Fire Protection District No. 1,15014/1,Delta,4.97,190773081
Delta County Fire Protection District No. 2,15008/1,Delta,2.805,68397960
Delta County Fire Protection District No. 3,15009/1,Delta,3.401,133978428
Delta County Ginters Grove Public Improvement District,66207/1,Delta,0,0
Delta County Library,15011/1,Delta,0,0
Delta County Memorial Hospital District,15012/1,Delta,0.71,507561011
Delta County Mosquito Control District No. 1,15013/1,Delta,2.9,197304243
Delta County Public Library District,64220/1,Delta,3.288,507561011
Delta County Public Library District,64220/1,Montrose,3.288,7040200
Delta County School District 50(J),64916/1,Delta,30.176,545274992
Delta County School District 50(J),64916/1,Gunnison,30.176,56547060
Delta County School District 50(J),64916/1,Mesa,30.176,202510
